ID_AutoProprietario,Numero_Telaio,ID_Proprietario,Data_Inizio_Proprietà,Data_Fine_Proprietà
139,VIN58423,139,2018-05-26,NULL
140,VIN81512,140,2020-08-11,NULL
141,VIN74948,141,2014-12-23,NULL
142,VIN70357,142,2019-05-12,NULL
143,VIN26756,143,2016-02-28,NULL
144,VIN46340,144,2017-08-19,NULL
145,VIN87128,145,2023-09-18,NULL
146,VIN72924,146,2016-12-14,NULL
147,VIN94663,147,2024-06-24,NULL
148,VIN67522,148,2018-12-01,NULL
149,VIN96872,149,2019-06-16,NULL
150,VIN24268,150,2020-09-12,NULL
151,VIN48783,151,2019-01-01,2022-03-10
152,VIN62742,152,2023-07-20,NULL
153,VIN30633,153,2015-08-08,NULL
154,VIN94930,154,2017-06-25,NULL
155,VIN22950,155,2024-09-26,NULL
156,VIN63432,156,2020-08-28,NULL
157,VIN89480,157,2018-02-26,NULL
158,VIN29156,158,2014-06-06,NULL
159,VIN35061,159,2014-12-22,NULL
160,VIN29937,160,2020-11-10,NULL
161,VIN35853,161,2019-12-17,2024-05-19
162,VIN34938,162,2022-06-08,2015-12-09
163,VIN17488,163,2014-04-03,NULL
164,VIN54139,164,2022-08-05,2020-01-13
165,VIN97954,165,2023-05-20,2018-05-09
166,VIN14213,166,2019-09-01,NULL
167,VIN50050,167,2021-08-04,NULL
168,VIN10119,168,2014-12-06,NULL
169,VIN58598,169,2021-09-15,NULL
170,VIN14585,170,2018-06-14,NULL
171,VIN24202,171,2016-10-16,NULL
172,VIN64703,172,2019-05-04,NULL
173,VIN38208,173,2021-12-28,NULL
174,VIN64043,174,2022-12-20,2016-11-20
175,VIN16399,175,2020-01-16,NULL
176,VIN60913,176,2024-05-24,2021-06-14
177,VIN59799,177,2023-01-13,NULL
178,VIN55401,178,2017-07-07,NULL
179,VIN76069,179,2015-03-12,NULL
180,VIN75457,180,2018-09-15,NULL
181,VIN28966,181,2020-06-08,2019-09-20
182,VIN75720,182,2014-09-07,NULL
183,VIN80857,183,2020-01-23,NULL
184,VIN27274,184,2020-09-01,NULL
185,VIN67523,185,2014-02-20,NULL
186,VIN31627,186,2021-12-20,2024-11-02
187,VIN83156,187,2023-07-18,NULL
188,VIN65266,188,2014-09-01,2021-10-07
189,VIN69598,189,2020-06-19,NULL
190,VIN87957,190,2019-03-10,NULL
191,VIN97774,191,2024-06-16,2018-01-07
192,VIN14515,192,2016-06-09,2021-06-13
193,VIN91409,193,2021-10-08,2016-04-16
194,VIN66362,194,2018-02-01,2022-04-25
195,VIN89300,195,2019-03-09,NULL
196,VIN80632,196,2022-10-15,NULL
197,VIN16644,197,2015-04-08,NULL
198,VIN85434,198,2016-03-22,NULL
199,VIN66854,199,2015-09-01,NULL
200,VIN11547,200,2024-01-11,NULL
201,VIN22029,201,2018-12-22,NULL
202,VIN63828,202,2020-11-09,NULL
203,VIN37137,203,2020-05-11,NULL
204,VIN80756,204,2021-01-08,NULL
205,VIN21304,205,2019-07-05,2016-09-12
206,VIN72828,206,2023-08-04,NULL
207,VIN83011,207,2015-10-01,NULL
208,VIN62464,208,2021-04-06,2022-04-20
209,VIN65028,209,2021-10-08,NULL
210,VIN33882,210,2017-01-03,NULL
211,VIN83527,211,2017-01-18,NULL
212,VIN49069,212,2020-04-15,NULL
213,VIN34938,213,2024-06-15,NULL
214,VIN93934,214,2024-12-03,2015-08-08
215,VIN48081,215,2015-07-18,NULL
216,VIN48096,216,2021-06-20,NULL
217,VIN69159,217,2021-02-12,NULL
218,VIN48259,218,2019-09-22,NULL
219,VIN32418,219,2023-09-05,NULL
220,VIN47791,220,2021-05-01,NULL
221,VIN50015,221,2018-01-22,2021-01-11
222,VIN92841,222,2014-06-21,NULL
223,VIN35010,223,2022-03-13,NULL
224,VIN23792,224,2022-07-22,NULL
225,VIN68767,225,2024-10-09,NULL
226,VIN88563,226,2024-05-24,2021-09-10
227,VIN36802,227,2022-01-12,NULL
228,VIN41342,228,2016-01-25,NULL
229,VIN43114,229,2015-10-01,NULL
230,VIN69650,230,2020-12-08,NULL
231,VIN69405,231,2024-06-06,NULL
232,VIN26047,232,2019-05-11,NULL
233,VIN92810,233,2020-04-23,NULL
234,VIN91159,234,2018-05-21,NULL
235,VIN89257,235,2021-12-11,NULL
236,VIN14042,236,2014-05-19,NULL
237,VIN96263,237,2014-09-06,NULL
238,VIN16705,238,2017-06-15,NULL
239,VIN63962,239,2014-10-14,NULL
240,VIN68418,240,2015-01-13,NULL
241,VIN23500,241,2024-01-25,2022-10-02
242,VIN44177,242,2017-01-06,NULL
243,VIN14235,243,2023-05-27,NULL
244,VIN98277,244,2016-01-08,NULL
245,VIN78944,245,2023-07-15,NULL
246,VIN29877,246,2022-06-17,NULL
247,VIN79373,247,2015-01-19,NULL
248,VIN42517,248,2015-11-07,NULL
249,VIN85771,249,2022-11-11,NULL
250,VIN94165,250,2023-09-13,NULL
251,VIN73979,251,2020-04-06,NULL
252,VIN32858,252,2022-07-12,NULL
253,VIN40527,253,2018-11-21,NULL
254,VIN42850,254,2014-06-19,2020-09-22
255,VIN55534,255,2024-04-16,NULL
256,VIN91906,256,2016-06-11,NULL
257,VIN63992,257,2018-06-22,NULL
258,VIN76059,258,2017-03-24,2024-06-18
259,VIN71487,259,2023-09-05,NULL
260,VIN90154,260,2021-12-25,2014-06-21
261,VIN85532,261,2020-02-08,NULL
262,VIN82940,262,2021-09-14,NULL
263,VIN24041,263,2020-04-15,NULL
264,VIN20259,264,2016-01-07,2016-01-10
265,VIN11814,265,2014-11-11,NULL
266,VIN16392,266,2016-04-27,NULL
267,VIN37174,267,2024-07-20,NULL
268,VIN65599,268,2021-07-14,2018-06-21
269,VIN19159,269,2017-01-12,NULL
270,VIN67175,270,2021-08-07,NULL
271,VIN87414,271,2019-10-04,NULL
272,VIN31115,272,2022-08-01,NULL
273,VIN10129,273,2016-09-25,NULL
274,VIN62638,274,2020-05-21,NULL
275,VIN87296,275,2024-10-18,NULL
276,VIN41130,276,2014-01-24,2017-02-13
277,VIN89741,277,2016-06-20,2022-10-09
278,VIN88206,278,2015-10-17,NULL
279,VIN82992,279,2022-03-19,NULL
280,VIN89245,280,2022-11-27,NULL
281,VIN66193,281,2016-03-01,NULL
282,VIN35206,282,2015-02-06,2017-10-04
283,VIN10964,283,2024-06-26,NULL
284,VIN70182,284,2018-09-18,2021-12-13
285,VIN24617,285,2023-03-07,NULL
286,VIN48164,286,2018-06-09,NULL
287,VIN59943,287,2019-08-05,NULL
288,VIN58445,288,2018-09-16,NULL
289,VIN30319,289,2024-04-20,2023-09-15
290,VIN88306,290,2022-04-23,NULL
291,VIN14064,291,2017-09-07,NULL
292,VIN43714,292,2021-01-22,NULL
293,VIN80583,293,2015-11-19,NULL
294,VIN59729,294,2018-04-02,NULL
295,VIN89066,295,2017-08-14,NULL
296,VIN11408,296,2024-06-06,NULL
297,VIN60897,297,2021-08-26,NULL
298,VIN34099,298,2015-03-28,NULL
299,VIN37743,299,2021-08-22,2020-03-27
300,VIN60330,300,2018-12-03,2023-01-01
301,VIN26262,301,2019-04-05,NULL
302,VIN45629,302,2017-12-04,NULL
303,VIN16218,303,2017-10-25,2024-01-25
304,VIN41098,304,2019-08-04,2014-11-07
305,VIN41579,305,2017-12-19,NULL
306,VIN66602,306,2022-12-11,NULL
307,VIN60505,307,2019-11-16,NULL
308,VIN45088,308,2014-05-10,NULL
309,VIN32567,309,2017-11-09,NULL
310,VIN12199,310,2023-09-17,NULL
311,VIN60966,311,2019-06-09,NULL
312,VIN22865,312,2024-04-18,NULL
313,VIN35856,313,2016-11-03,NULL
314,VIN32118,314,2023-07-13,NULL
315,VIN87250,315,2014-12-23,NULL
316,VIN17018,316,2022-03-20,NULL
317,VIN23790,317,2021-11-12,NULL
318,VIN85544,318,2016-11-19,2016-01-09
319,VIN25555,319,2018-08-25,NULL
320,VIN86394,320,2022-09-18,2016-01-24
321,VIN40379,321,2018-01-20,NULL
322,VIN50352,322,2015-12-18,NULL
323,VIN60982,323,2017-08-14,NULL
324,VIN25984,324,2016-07-07,NULL
325,VIN89584,325,2019-05-26,NULL
326,VIN30481,326,2022-06-08,NULL
327,VIN21944,327,2017-06-11,NULL
328,VIN78200,328,2023-05-12,NULL
329,VIN85272,329,2020-07-18,2016-04-05
330,VIN81047,330,2021-12-12,NULL
331,VIN95013,331,2016-04-24,NULL
332,VIN28849,332,2022-07-17,NULL
333,VIN33774,333,2016-09-12,2024-02-19
334,VIN59384,334,2016-08-23,NULL
335,VIN51699,335,2022-07-22,NULL
336,VIN44766,336,2019-02-20,NULL
337,VIN29508,337,2015-05-06,NULL
338,VIN76218,338,2023-07-03,2023-07-10
339,VIN48960,339,2014-08-03,NULL
340,VIN75128,340,2018-03-06,NULL
341,VIN19542,341,2015-01-27,NULL
342,VIN81204,342,2020-07-06,NULL
343,VIN80624,343,2015-09-25,NULL
344,VIN99544,344,2015-01-16,NULL
345,VIN91798,345,2016-11-25,NULL
346,VIN48186,346,2016-10-21,NULL
347,VIN70725,347,2021-07-18,NULL
348,VIN14261,348,2020-02-06,NULL
349,VIN40268,349,2015-02-04,NULL
350,VIN28236,350,2016-12-12,NULL
351,VIN73621,351,2021-07-06,2023-01-27
352,VIN97282,352,2018-11-10,NULL
353,VIN87335,353,2021-02-06,NULL
354,VIN49448,354,2018-01-02,NULL
355,VIN49745,355,2015-12-07,NULL
356,VIN24438,356,2021-09-07,NULL
357,VIN14946,357,2022-10-25,NULL
358,VIN51668,358,2015-01-18,NULL
359,VIN33630,359,2017-06-09,NULL
360,VIN34548,360,2018-10-07,NULL
361,VIN16204,361,2021-05-14,NULL
362,VIN68075,362,2020-09-22,NULL
363,VIN87969,363,2014-02-15,NULL
364,VIN80870,364,2024-05-13,NULL
365,VIN77699,365,2024-06-23,NULL
366,VIN54998,366,2021-09-13,NULL
367,VIN58995,367,2015-12-25,NULL
368,VIN77169,368,2018-09-26,NULL
369,VIN98586,369,2023-09-25,NULL
370,VIN73982,370,2020-04-12,2018-05-20
371,VIN25592,371,2023-11-01,NULL
372,VIN81316,372,2023-09-15,2020-05-05
373,VIN29598,373,2014-10-05,NULL
374,VIN65695,374,2020-11-22,NULL
375,VIN37008,375,2014-01-21,2014-07-09
376,VIN29163,376,2020-03-25,NULL
377,VIN48550,377,2023-12-26,NULL
378,VIN70030,378,2017-10-16,2017-05-06
379,VIN48424,379,2017-12-25,NULL
380,VIN84197,380,2021-02-03,NULL
381,VIN42343,381,2015-10-27,NULL
382,VIN25918,382,2015-06-01,NULL
383,VIN55682,383,2021-05-12,NULL
384,VIN62311,384,2014-11-01,NULL
385,VIN33265,385,2016-11-21,2020-07-23
386,VIN11555,386,2020-06-13,NULL
387,VIN79543,387,2021-01-05,NULL
388,VIN80064,388,2016-09-20,2022-08-17
389,VIN75464,389,2018-08-20,NULL
390,VIN17660,390,2022-04-22,2017-02-16
391,VIN78377,391,2014-06-12,NULL
392,VIN26630,392,2015-09-25,NULL
393,VIN59183,393,2019-08-18,NULL
394,VIN50717,394,2017-03-24,2015-07-13
395,VIN84497,395,2022-04-14,NULL
396,VIN18206,396,2018-03-03,NULL
397,VIN17767,397,2020-03-20,NULL
398,VIN66437,398,2024-09-05,NULL
399,VIN74915,399,2017-06-08,NULL
400,VIN56935,400,2023-05-20,NULL
401,VIN70759,401,2024-03-22,2021-11-20
402,VIN38102,402,2023-02-24,NULL
403,VIN10139,403,2023-05-11,NULL
404,VIN92476,404,2015-09-13,2017-07-23
405,VIN55599,405,2015-04-20,NULL
406,VIN82457,406,2024-03-15,NULL
407,VIN28050,407,2014-01-26,NULL
408,VIN80828,408,2021-10-08,NULL
409,VIN47945,409,2019-08-10,NULL
410,VIN85856,410,2020-12-23,NULL
411,VIN54659,411,2017-05-21,NULL
412,VIN56733,412,2015-06-08,NULL
413,VIN43588,413,2015-07-24,NULL
414,VIN20967,414,2022-06-04,NULL
415,VIN19402,415,2017-11-10,NULL
416,VIN28794,416,2019-04-21,NULL
417,VIN37004,417,2021-11-20,NULL
418,VIN35498,418,2016-04-13,NULL
419,VIN12378,419,2015-07-21,NULL
420,VIN36026,420,2015-05-17,NULL
421,VIN55719,421,2014-03-05,NULL
422,VIN90795,422,2022-09-08,NULL
423,VIN12825,423,2019-12-15,2019-11-22
424,VIN73183,424,2019-06-25,NULL
425,VIN65498,425,2019-09-21,NULL
426,VIN93539,426,2015-07-23,NULL
427,VIN25216,427,2023-02-27,NULL
428,VIN49222,428,2016-09-21,NULL
429,VIN27786,429,2016-01-26,NULL
430,VIN69041,430,2018-08-09,NULL
431,VIN79563,431,2024-03-06,2020-09-01
432,VIN69255,432,2018-05-23,2020-06-19
433,VIN40252,433,2022-11-12,NULL
434,VIN10564,434,2023-05-11,NULL
435,VIN65950,435,2016-06-23,NULL
436,VIN45861,436,2022-09-16,NULL
437,VIN20870,437,2014-05-05,NULL
438,VIN81900,438,2018-06-12,NULL
439,VIN41635,439,2019-01-14,NULL
440,VIN74055,440,2014-03-10,NULL
441,VIN65493,441,2019-02-05,NULL
442,VIN10959,442,2019-03-22,2024-08-16
443,VIN60903,443,2023-01-03,NULL
444,VIN64209,444,2023-08-15,NULL
445,VIN70900,445,2016-08-14,2017-05-09
446,VIN22219,446,2016-09-21,NULL
447,VIN29996,447,2015-10-20,NULL
448,VIN89696,448,2021-05-20,2024-05-16
449,VIN15769,449,2018-10-17,NULL
450,VIN20315,450,2019-06-10,2016-02-11
451,VIN87616,451,2014-04-07,NULL
452,VIN26360,452,2019-02-28,NULL
453,VIN55849,453,2015-12-26,NULL
454,VIN13015,454,2019-02-04,NULL
455,VIN41602,455,2020-01-19,2017-06-02
456,VIN89726,456,2018-08-01,NULL
457,VIN93583,457,2016-02-15,2021-11-05
458,VIN66615,458,2024-09-22,NULL
459,VIN15016,459,2020-07-10,NULL
460,VIN64035,460,2016-08-04,NULL
461,VIN67142,461,2014-06-12,NULL
462,VIN66135,462,2014-02-02,NULL
463,VIN93719,463,2017-09-18,NULL
464,VIN69966,464,2015-08-21,NULL
465,VIN61195,465,2015-10-15,NULL
466,VIN81632,466,2015-10-19,NULL
467,VIN23632,467,2019-04-27,NULL
468,VIN96138,468,2023-03-17,NULL
469,VIN44542,469,2023-01-14,NULL
470,VIN30882,470,2020-09-03,NULL
471,VIN73111,471,2021-02-16,NULL
472,VIN81133,472,2021-04-27,NULL
473,VIN30001,473,2016-03-21,2014-03-06
474,VIN29619,474,2017-10-18,NULL
475,VIN43220,475,2023-08-14,NULL
476,VIN38728,476,2020-09-28,2016-08-16
477,VIN35380,477,2017-11-25,NULL
478,VIN75367,478,2020-04-23,NULL
479,VIN92529,479,2017-10-10,NULL
480,VIN67760,480,2020-08-01,2019-02-10
481,VIN77273,481,2016-12-02,NULL
482,VIN89489,482,2019-04-06,NULL
483,VIN50754,483,2014-10-08,2015-04-10
484,VIN57266,484,2016-08-26,NULL
485,VIN83708,485,2022-09-27,NULL
486,VIN78147,486,2021-07-25,NULL
487,VIN72572,487,2017-12-05,2015-07-09
488,VIN51563,488,2015-06-24,2021-08-08
489,VIN72292,489,2015-11-02,NULL
490,VIN85974,490,2018-05-26,2015-08-14
491,VIN59313,491,2015-07-05,NULL
492,VIN32400,492,2021-04-09,NULL
493,VIN14578,493,2022-09-23,2021-08-26
494,VIN62952,494,2014-05-06,2017-02-04
495,VIN31796,495,2014-04-02,2016-11-06
496,VIN81520,496,2023-09-16,NULL
497,VIN79322,497,2024-05-04,NULL
498,VIN10690,498,2017-01-10,NULL
499,VIN31730,499,2020-08-19,NULL
500,VIN40078,500,2021-04-21,NULL
501,VIN34631,501,2021-09-21,NULL
502,VIN56957,502,2016-04-08,NULL
503,VIN92025,503,2021-05-14,NULL
504,VIN97768,504,2015-11-11,NULL
505,VIN52678,505,2024-01-21,NULL
506,VIN65418,506,2021-01-19,NULL
507,VIN74694,507,2015-05-14,NULL
508,VIN49258,508,2014-07-23,NULL
509,VIN66960,509,2021-04-21,NULL
510,VIN89879,510,2015-08-01,NULL
511,VIN25849,511,2024-08-21,NULL
512,VIN49424,512,2016-01-07,NULL
513,VIN92223,513,2021-01-21,2018-07-22
514,VIN46473,514,2016-12-13,NULL
515,VIN85837,515,2017-01-26,NULL
516,VIN89856,516,2023-06-04,NULL
517,VIN39889,517,2024-04-14,2020-09-13
518,VIN81862,518,2015-11-26,NULL
519,VIN71852,519,2015-09-20,NULL
520,VIN37493,520,2015-01-18,NULL
521,VIN64371,521,2017-03-08,2019-08-20
522,VIN28289,522,2017-02-05,NULL
523,VIN54374,523,2018-05-22,NULL
524,VIN37891,524,2017-08-20,NULL
525,VIN44766,525,2022-10-14,NULL
526,VIN26022,526,2017-08-02,NULL
527,VIN15142,527,2015-01-04,2022-08-18
528,VIN12037,528,2014-10-24,NULL
529,VIN75778,529,2015-07-02,NULL
530,VIN97192,530,2014-10-19,NULL
531,VIN68366,531,2022-11-24,NULL
532,VIN97579,532,2018-06-07,NULL
533,VIN16420,533,2019-12-13,NULL
534,VIN63366,534,2022-12-23,NULL
535,VIN20834,535,2020-12-19,NULL
536,VIN23575,536,2019-01-06,2021-04-21
537,VIN60918,537,2015-07-17,NULL
538,VIN91578,538,2021-09-28,2014-05-16
539,VIN40726,539,2017-03-10,NULL
540,VIN86670,540,2015-06-20,NULL
541,VIN59317,541,2017-10-01,NULL
542,VIN44415,542,2019-09-25,2023-01-12
543,VIN80989,543,2017-11-22,NULL
544,VIN78598,544,2015-02-20,NULL
545,VIN13484,545,2019-08-06,NULL
546,VIN74772,546,2017-03-12,NULL
547,VIN41882,547,2021-07-06,NULL
548,VIN10874,548,2020-04-13,NULL
549,VIN34316,549,2023-12-05,NULL
550,VIN70569,550,2020-01-17,2015-01-18
551,VIN69999,551,2021-07-21,NULL
552,VIN66869,552,2020-02-13,NULL
553,VIN91576,553,2023-10-02,NULL
554,VIN11216,554,2015-08-03,2018-05-13
555,VIN81328,555,2016-09-01,NULL
556,VIN39996,556,2015-08-17,2020-04-14
557,VIN72328,557,2020-05-23,NULL
558,VIN45110,558,2021-03-12,2015-10-20
559,VIN66828,559,2019-08-13,NULL
560,VIN70686,560,2020-06-02,NULL
561,VIN30386,561,2021-10-09,NULL
562,VIN50939,562,2019-11-16,NULL
563,VIN18072,563,2016-06-01,2015-06-22
564,VIN77175,564,2020-05-15,NULL
565,VIN55445,565,2016-10-07,NULL
566,VIN37950,566,2017-06-25,NULL
567,VIN70177,567,2017-08-10,NULL
568,VIN10509,568,2020-03-25,NULL
569,VIN71179,569,2017-02-03,NULL
570,VIN75231,570,2020-03-24,NULL
571,VIN55665,571,2022-12-25,2019-09-09
572,VIN78255,572,2024-03-09,2018-09-06
573,VIN95126,573,2018-07-06,NULL
574,VIN33616,574,2016-07-16,NULL
575,VIN20147,575,2022-10-16,2021-02-01
576,VIN44547,576,2020-01-22,NULL
577,VIN25220,577,2017-07-14,NULL
578,VIN49590,578,2020-04-25,NULL
579,VIN56641,579,2018-08-24,NULL
580,VIN90643,580,2022-11-18,NULL
581,VIN95018,581,2017-04-05,NULL
582,VIN56735,582,2020-07-19,NULL
583,VIN81208,583,2021-11-05,NULL
584,VIN39353,584,2018-02-20,NULL
585,VIN25744,585,2015-11-24,NULL
586,VIN37230,586,2017-01-27,NULL
587,VIN28085,587,2018-08-13,NULL
588,VIN72818,588,2018-02-02,NULL
589,VIN11115,589,2017-03-22,2018-05-12
590,VIN44380,590,2021-06-12,NULL
591,VIN43641,591,2017-08-08,NULL
592,VIN27671,592,2018-10-21,NULL
593,VIN67330,593,2021-06-09,NULL
594,VIN76231,594,2018-05-03,NULL
595,VIN21001,595,2014-01-04,2021-01-08
596,VIN10053,596,2019-01-16,NULL
597,VIN29542,597,2018-03-10,NULL
598,VIN81567,598,2020-02-04,NULL
599,VIN82971,599,2016-01-11,NULL
600,VIN69392,600,2014-10-21,2019-05-27
601,VIN84679,601,2017-11-26,NULL
602,VIN99348,602,2024-08-08,NULL
603,VIN48655,603,2018-09-08,NULL
604,VIN77507,604,2017-10-11,NULL
605,VIN97260,605,2016-08-15,NULL
606,VIN19389,606,2023-04-21,NULL
607,VIN17493,607,2015-09-28,NULL
608,VIN33165,608,2021-11-21,NULL
609,VIN52884,609,2021-05-25,NULL
610,VIN80956,610,2022-07-09,2017-09-04
611,VIN42996,611,2022-05-02,2015-01-19
612,VIN92238,612,2023-02-20,NULL
613,VIN36927,613,2018-04-20,2021-10-07
614,VIN55576,614,2018-06-06,2020-03-06
615,VIN57075,615,2017-05-27,NULL
616,VIN95566,616,2016-10-24,NULL
617,VIN51992,617,2021-07-22,2017-04-18
618,VIN11582,618,2014-04-27,2017-10-27
619,VIN77991,619,2017-08-20,2020-11-24
620,VIN82473,620,2018-03-10,NULL
621,VIN93376,621,2021-04-15,NULL
622,VIN84227,622,2020-04-05,NULL
623,VIN52021,623,2015-10-06,NULL
624,VIN97271,624,2015-02-26,2021-03-07
625,VIN47030,625,2022-11-13,NULL
626,VIN38668,626,2023-01-04,NULL
627,VIN46784,627,2018-11-14,NULL
628,VIN65893,628,2019-05-02,NULL
629,VIN48886,629,2023-09-04,NULL
630,VIN23123,630,2024-12-26,NULL
631,VIN25949,631,2024-10-04,NULL
632,VIN54948,632,2021-08-03,NULL
633,VIN61078,633,2019-04-22,NULL
634,VIN72281,634,2018-06-15,NULL
635,VIN16473,635,2019-09-27,NULL
636,VIN88913,636,2022-02-23,2015-01-18
637,VIN83548,637,2016-05-21,NULL
638,VIN58671,638,2022-10-03,NULL
639,VIN55863,639,2023-12-25,NULL
640,VIN18335,640,2020-11-01,NULL
641,VIN84980,641,2023-08-01,NULL
642,VIN96303,642,2018-05-19,NULL
643,VIN64868,643,2023-05-06,2023-09-14
